Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType
1,1,-0.01,-0.01,0.00,100.00,26.56,1.00,3.30,None,0.00,0.00,False,False,False,none
1,2,-0.03,-0.02,-0.06,100.00,26.56,1.00,3.30,None,0.00,0.00,False,False,False,none
1,3,-0.04,-0.03,-0.12,100.00,26.56,1.00,3.30,None,0.00,0.00,False,False,False,none
1,4,-0.05,-0.04,-0.19,100.00,26.56,1.00,3.30,None,-0.01,0.00,False,False,False,none
1,5,-0.07,-0.05,-0.25,100.00,26.56,1.00,3.30,None,-0.01,0.00,False,False,False,none
1,6,-0.08,-0.05,-0.31,100.00,26.56,1.00,3.30,None,-0.02,0.00,False,False,False,none
1,7,-0.09,-0.06,-0.37,100.00,26.56,1.00,3.30,None,-0.02,0.00,False,False,False,none
1,8,-0.11,-0.07,-0.43,100.00,26.56,1.00,3.30,None,-0.03,0.00,False,False,False,none
1,9,-0.12,-0.08,-0.49,100.00,26.56,1.00,3.30,None,-0.03,0.00,False,False,False,none
1,10,-0.14,-0.09,-0.55,100.00,26.56,1.00,3.30,None,-0.03,0.00,False,False,False,none
1,11,-0.15,-0.10,-0.61,100.00,26.56,1.00,3.30,None,-0.04,0.00,False,False,False,none
1,12,-0.16,-0.11,-0.67,100.00,26.56,1.00,3.30,None,-0.04,0.00,False,False,False,none
1,13,-0.18,-0.12,-0.73,100.00,26.56,1.00,3.30,None,-0.05,0.00,False,False,False,none
1,14,-0.19,-0.13,-0.79,100.00,26.56,1.00,3.30,None,-0.05,0.00,False,False,False,none
1,15,-0.20,-0.14,-0.85,100.00,26.56,1.00,3.30,None,-0.06,0.00,False,False,False,none
1,16,-0.22,-0.14,-0.91,100.00,26.56,1.00,3.30,None,-0.06,0.00,False,False,False,none
1,17,-0.23,-0.15,-0.97,100.00,26.56,1.00,3.30,None,-0.06,0.00,False,False,False,none
1,18,-0.24,-0.16,-1.03,100.00,26.56,1.00,3.30,None,-0.07,0.00,False,False,False,none
1,19,-0.26,-0.17,-1.09,100.00,26.56,1.00,3.30,None,-0.07,0.00,False,False,False,none
1,20,-0.27,-0.18,-1.15,100.00,26.56,1.00,3.30,None,-0.08,0.00,False,False,False,none
1,21,-0.28,-0.19,-1.21,100.00,26.56,1.00,3.30,None,-0.08,0.00,False,False,False,none
1,22,-0.30,-0.20,-1.27,100.00,26.56,1.00,3.30,None,-0.08,0.00,False,False,False,none
1,23,-0.31,-0.21,-1.32,100.00,26.56,1.00,3.30,None,-0.09,0.00,False,False,False,none
1,24,-0.32,-0.22,-1.38,100.00,26.56,1.00,3.30,None,-0.09,0.00,False,False,False,none
1,25,-0.34,-0.23,-1.44,100.00,26.56,1.00,3.30,None,-0.10,0.00,False,False,False,none
1,26,-0.35,-0.23,-1.50,100.00,26.56,1.00,3.30,None,-0.10,0.00,False,False,False,none
1,27,-0.36,-0.24,-1.56,100.00,26.56,1.00,3.30,None,-0.10,0.00,False,False,False,none
1,28,-0.38,-0.25,-1.61,100.00,26.56,1.00,3.30,None,-0.11,0.00,False,False,False,none
1,29,-0.39,-0.26,-1.67,100.00,26.56,1.00,3.30,None,-0.11,0.00,False,False,False,none
1,30,-0.41,-0.27,-1.73,100.00,26.56,1.00,3.30,None,-0.12,0.00,False,False,False,none
