Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType
1,1,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,2,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,3,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,4,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,5,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,6,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,7,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,8,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,9,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,10,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,11,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,12,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,13,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,14,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,15,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,16,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,17,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,18,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,19,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,20,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,21,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,22,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,23,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,24,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,25,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,26,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,27,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,28,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,29,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,30,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,31,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,32,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,33,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,34,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,35,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,36,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,37,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,38,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,39,-7.00,7.00,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
